RC Engine Sound Simulator Debug Log
----------------------------------
[DBG] Time(ms), RPM, ThrIn, FadThr500, TgtRPM, EngIdleVol%, FullThrVol%, ThrottleMapOut%, BaseIdleScaler%, BaseRevScaler%, RevSwitch, IdleEnd, IdleVolProp%, ThrMapOutRev%, a1Multi%, IdleVol, RevVol
[DBG] 1748589877869, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589877920, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589877975, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878030, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878085, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878138, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878194, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878249, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878304, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878359, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878414, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878468, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878523, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878578, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878629, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878681, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878736, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878791, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878845, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878897, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589878952, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879003, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879057, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879112, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879168, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879223, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
